close,open,high,low,volume,negative,neutral,positive,compound
745.6545,716.94,759.45,706.715,57474573,0.0,0.876,0.124,0.1779
1024.974,991.88,1027.48,982.5,17023324,0.0,0.804,0.196,0.8074
1119.54,1083,1135.33,1080.5,12887738,0.0,1.0,0.0,0.0
709.755,698.97,741.88,692.43,57451900,0.0,0.659,0.341,0.4767
834.1905,808.75,835,804.21,10523947,0.0,0.795,0.205,0.5994
948.45,919,950,909.16,26318875,0.0,1.0,0.0,0.0
1009.89,969.01,1010,948.5201,8732336,0.072,0.928,0.0,-0.34
972.41,990.2,1018.9599,972.11,29440376,0.0,0.927,0.073,0.3818
1371,1276.69,1377.79,1266.044,18885360,0.0,0.891,0.109,0.296
985.98,954.27,985.98,937.15,8834648,0.0,1.0,0.0,0.0
1001.66,998.88,1012,994.0101,6015204,0.0,1.0,0.0,0.0
